seller_id,seller_zip_code_prefix,seller_city,seller_state,total_gmv,avg_order_value,total_items,total_freight,avg_freight,unique_orders,unique_products,avg_review_score,review_count,review_score_std,total_reviews,bad_review_rate,avg_shipping_days,median_shipping_days,avg_delivery_days,median_delivery_days,delivery_success_rate,category_count,sku_count,first_order_date,last_order_date,total_orders,active_days,order_frequency,revenue_per_order,items_per_order,is_active
3442f8959a84dea7ee197c632cb2df15,13023,campinas,SP,218.7,72.9,3,27.9,9.3,3,3,3.0,3,2.0,3,33.33,4.33,6.0,7.33,1.0,100.0,1,3,2017-05-05 16:12:29,2017-08-30 11:47:52,3,117,0.0256,72.89999999999999,1.0,1
d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,SP,11703.07,285.44,41,1438.73,35.09,40,30,4.56,41,0.95,41,4.88,1.75,1.0,6.5,4.0,97.56,3,30,2017-03-28 09:00:00,2018-06-06 20:01:45,41,436,0.094,292.57675,1.025,1
ce3ad9de960102d0677a81f5d0bb7b2d,20031,rio de janeiro,RJ,158.0,158.0,1,16.21,16.21,1,1,5.0,1,0.0,1,0.0,0.0,0.0,3.0,3.0,100.0,1,1,2018-07-30 12:20:10,2018-07-30 12:20:10,1,1,1.0,158.0,1.0,1
c0f3eea2e14555b6faeea3dd58c1b1c3,4195,sao paulo,SP,79.99,79.99,1,15.66,15.66,1,1,5.0,1,0.0,1,0.0,0.0,0.0,5.0,5.0,100.0,1,1,2018-08-03 00:26:04,2018-08-03 00:26:04,1,1,1.0,79.99,1.0,1
51a04a8a6bdcb23deccc82b0b80742cf,12914,braganca paulista,SP,167.99,167.99,1,31.93,31.93,1,1,1.0,1,0.0,1,100.0,13.0,13.0,21.0,21.0,100.0,1,1,2017-11-14 12:04:09,2017-11-14 12:04:09,1,1,1.0,167.99,1.0,1
c240c4061717ac1806ae6ee72be3533b,20920,rio de janeiro,RJ,59.9,59.9,1,13.99,13.99,1,1,4.0,1,0.0,1,0.0,0.0,0.0,5.0,5.0,100.0,1,1,2018-05-08 17:40:24,2018-05-08 17:40:24,1,1,1.0,59.9,1.0,1
e49c26c3edfa46d227d5121a6b6e4d37,55325,brejao,PE,3654.25,101.51,36,1175.46,32.65,35,31,4.42,36,1.13,36,8.33,1.23,1.0,9.63,8.0,97.22,7,31,2017-02-04 18:51:41,2018-07-25 14:20:31,36,536,0.0672,104.40714285714286,1.0285714285714285,1
1b938a7ec6ac5061a66a3766e0e75f90,16304,penapolis,SP,3987.6,120.84,33,910.23,27.58,30,8,4.24,33,1.3,33,12.12,1.33,1.0,9.06,8.0,93.94,6,8,2017-09-22 17:15:55,2018-08-18 18:46:34,33,331,0.0997,132.92,1.1,1
768a86e36ad6aae3d03ee3c6433d61df,1529,sao paulo,SP,587.46,34.56,17,180.24,10.6,17,8,4.65,17,0.61,17,0.0,0.94,0.0,3.35,3.0,100.0,2,8,2018-06-19 11:51:55,2018-08-23 20:27:42,17,66,0.2576,34.5564705882353,1.0,1
ccc4bbb5f32a6ab2b7066a4130f114e3,80310,curitiba,PR,74004.62,385.44,192,5256.98,27.38,187,12,4.28,191,1.23,191,11.52,2.81,2.0,11.99,9.0,98.44,2,12,2017-01-07 13:29:22,2018-08-21 20:53:43,192,592,0.3243,395.7466310160428,1.0267379679144386,1
